epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,8637.79,1.46506,1.16448,1.39018,0.58033,0.43978,0.46538,0.25134,1.85033,1.33966,1.46021,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,8905.97,1.45997,1.14316,1.37994,0.54578,0.46532,0.46613,0.25352,1.88452,1.31559,1.47055,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9174.03,1.45119,1.1402,1.38371,0.55294,0.4664,0.46982,0.25747,1.86742,1.33193,1.48832,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,9442.33,1.43546,1.13277,1.36438,0.59026,0.48038,0.48144,0.26616,1.85934,1.29451,1.45764,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,9710.63,1.44465,1.12618,1.37583,0.56139,0.46989,0.46821,0.25871,1.8672,1.31267,1.4698,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,9978.49,1.43676,1.11427,1.37072,0.57862,0.47913,0.48398,0.26727,1.86957,1.29334,1.46466,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,10246.4,1.43298,1.11028,1.36642,0.57118,0.47016,0.47495,0.26596,1.85352,1.29759,1.46857,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,10552,1.43882,1.11183,1.36785,0.56744,0.4743,0.476,0.26723,1.83666,1.27953,1.44035,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,10812.3,1.4315,1.10253,1.35806,0.55494,0.49489,0.47726,0.2625,1.84858,1.28772,1.48233,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,11070.9,1.41374,1.09172,1.35725,0.56109,0.47984,0.47223,0.2575,1.89278,1.31407,1.49365,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,11320.8,1.40887,1.07508,1.34961,0.57259,0.48817,0.47937,0.26874,1.8349,1.28209,1.45075,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,11568.3,1.41474,1.0823,1.34928,0.56828,0.48476,0.47962,0.26551,1.84903,1.29893,1.44706,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,11863.1,1.40054,1.06893,1.34372,0.58062,0.4629,0.48014,0.26584,1.86586,1.31066,1.48793,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,12121.5,1.40284,1.0657,1.34618,0.56527,0.48871,0.48318,0.27087,1.84079,1.26845,1.46079,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,12338.8,1.39616,1.06691,1.34,0.58889,0.49113,0.49347,0.27748,1.79846,1.25589,1.42169,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,12534.2,1.38436,1.05919,1.34219,0.57498,0.48333,0.49141,0.27276,1.81399,1.25281,1.42787,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,12775.5,1.3875,1.0524,1.33605,0.57041,0.48829,0.4898,0.27179,1.82805,1.25894,1.43958,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,13009.4,1.39223,1.043,1.33004,0.58165,0.50538,0.49526,0.27913,1.80234,1.22781,1.42023,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,13259.9,1.38385,1.0339,1.32408,0.58084,0.49382,0.49044,0.27473,1.81256,1.2428,1.42287,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,13470.8,1.37974,1.02903,1.33508,0.59348,0.50403,0.49515,0.27533,1.83025,1.24222,1.44274,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,13711.7,1.36939,1.03626,1.32218,0.58235,0.49852,0.496,0.28096,1.8191,1.23388,1.42406,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,13957.8,1.37718,1.03233,1.31953,0.60019,0.49489,0.49752,0.28157,1.83294,1.22555,1.43733,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,14203.2,1.38353,1.03507,1.33083,0.56326,0.50054,0.47934,0.27008,1.85893,1.32165,1.47663,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,14428.6,1.36414,1.01519,1.31919,0.57994,0.49704,0.49241,0.27616,1.83536,1.27723,1.44653,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,14680.3,1.36841,1.01976,1.31483,0.5893,0.49526,0.48619,0.27003,1.88192,1.29532,1.4898,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,14895.3,1.34859,1.00723,1.30318,0.57568,0.5043,0.48937,0.27495,1.82637,1.26906,1.44377,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
